Member State,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present)
France,743626,694428.0,0.9338403982647191,0.8855002380228771,3204,0.004613869256423992,3791,0.005459169273128388
Sweden,200656,183528.0,0.9146399808627701,0.871167570369189,834,0.004544265725120963,907,0.0049420251950656035
Spain,541750,501529.0,0.9257572681125981,0.8788610982925704,1890,0.0037684760003908048,2032,0.004051610176081542
Ireland,110539,93698.0,0.8476465319932331,0.8056342105501226,309,0.003297829195927341,449,0.004791991291169502
Greece,210729,191389.0,0.908223357962122,0.8048915906211295,561,0.0029312029426978563,755,0.003944845315039004
Portugal,210974,200038.0,0.9481642287675258,0.9077090067970461,553,0.0027644747497975386,706,0.0035293294274087923
Austria,180576,175824.0,0.9736842105263158,0.941675527201843,486,0.002764127764127764,602,0.0034238784238784237
Belgium,210867,200250.0,0.9496507277098835,0.9238998989884619,514,0.0025667915106117353,547,0.002731585518102372
United Kingdom,731874,640315.0,0.8748978649330349,0.8096338987312024,1560,0.00243630088315907,1681,0.002625270374737434
Hungary,210901,186904.0,0.8862167557289913,0.8179951730906918,444,0.002375551085049009,464,0.0024825578906818475
Cyprus,60294,54489.0,0.9037217633595382,0.8029488838027001,118,0.0021655747031510946,138,0.0025326212630072125
Malta,60294,58358.0,0.967890669054964,0.935698411118851,124,0.002124815792179307,178,0.0030501387984509408
Netherlands,260185,244342.0,0.939108711109403,0.9055479754789861,488,0.0019972006449975855,511,0.002091331003265914
Italy,733125,672296.0,0.9170277919863598,0.8624300085251492,1251,0.0018607875102633364,1564,0.002326356247843212
Czech Republic,210965,199678.0,0.9464982343042685,0.9036570047164222,364,0.0018229349252296197,443,0.002218571900760224
Finland,136026,126818.0,0.9323070589446135,0.8466396130151589,217,0.0017111135643205224,219,0.0017268841962497438
Denmark,130637,116786.0,0.8939733766084647,0.8458935829818505,198,0.0016954086962478378,211,0.0018067234086277465
Slovakia,130637,122874.0,0.9405757939940446,0.9049656682256941,200,0.0016276836434070674,212,0.0017253446620114914
Slovenia,80392,76514.0,0.9517613692904766,0.9110608020698577,120,0.0015683404344303004,135,0.001764382988734088
Bulgaria,170782,156658.0,0.9172980759096392,0.8726622243561968,244,0.0015575329699089736,254,0.0016213662883478662
Romania,321410,288690.0,0.898198562583616,0.8471049438411997,445,0.001541445841560151,497,0.0017215698500121237
Poland,511401,483483.0,0.9454087887978319,0.905463618569381,621,0.0012844298558584272,848,0.0017539396421384
Lithuania,110477,98133.0,0.8882663359794346,0.8421843460629814,119,0.0012126399885869178,130,0.0013247327606411706
Latvia,80230,73938.0,0.9215754705222485,0.8499314470896173,83,0.0011225621466634207,88,0.0011901863723660364
Germany,963400,904639.0,0.9390066431388832,0.878587294996886,929,0.001026928973877978,1092,0.00120711134496744
Luxembourg,60294,57449.0,0.9528145420771553,0.8929080837230902,45,0.0007833034517572107,72,0.0012532855228115372
Croatia,110539,104682.0,0.9470141759921837,0.9063588416757886,77,0.0007355610324602128,95,0.0009075103647236392
Estonia,60294,56755.0,0.9413042757156599,0.8690085248946827,35,0.0006166857545590697,43,0.0007576424984582856
